movie_id,movie_title_year,year
2844,Fantômas - À l'ombre de la guillotine (1913),1913
4936,The Bank (1915),1915
4972,The Birth of a Nation (1915),1915
5078,The Cheat (1915),1915
6684,The Fireman (1916),1916
6689,The Floorwalker (1916),1916
7264,The Rink (1916),1916
7880,Easy Street (1917),1917
8133,The Immigrant (1917),1917
9018,A Dog's Life (1918),1918
9968,Broken Blossoms or The Yellow Man and the Girl (1919),1919
11267,Headin' Home (1920),1920
11508,Neighbors (1920),1920
11541,One Week (1920),1920
11607,Prästänkan (1920),1920
11717,The Son of Tarzan (1920),1920
12349,The Kid (1921),1921
12364,Körkarlen (1921),1921
12651,Schloß Vogeloed (1921),1921
13025,Cops (1922),1922
13086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit (1922)",1922
13427,Nanook of the North (1922),1922
13442,"Nosferatu, eine Symphonie des Grauens (1922)",1922
14142,The Hunchback of Notre Dame (1923),1923
14341,Our Hospitality (1923),1923
14429,Safety Last! (1923),1923
14538,Three Ages (1923),1923
14872,Entr'acte (1924),1924
15002,Hot Water (1924),1924
15064,Der letzte Mann (1924),1924
15163,The Navigator (1924),1924
15324,Sherlock Jr. (1924),1924
15361,Stachka (1925),1925
15400,The Thief of Bagdad (1924),1924
15624,The Big Parade (1925),1925
15648,Bronenosets Potyomkin (1925),1925
15864,The Gold Rush (1925),1925
15881,Greed (1924),1924
16332,Seven Chances (1925),1925
16847,Faust - Eine deutsche Volkssage (1926),1926
17075,The Lodger: A Story of the London Fog (1927),1927
17136,Metropolis (1927),1927
17196,Nana (1926),1926
17925,The General (1926),1926
18217,Oktyabr (1928),1928
18455,Sunrise: A Song of Two Humans (1927),1927
18578,Wings (1927),1927
18742,The Cameraman (1928),1928
18773,The Circus (1928),1928
18806,The Crowd (1928),1928
19130,The Man Who Laughs (1928),1928
19254,La passion de Jeanne d'Arc (1928),1928
19421,"Steamboat Bill, Jr. (1928)",1928
19729,The Broadway Melody (1929),1929
19760,Chelovek s kino-apparatom (1929),1929
19901,Frau im Mond (1929),1929
20530,Un chien andalou (1929),1929
20581,Where East Is East (1929),1929
20629,All Quiet on the Western Front (1930),1930
20686,The Big House (1930),1930
20693,Billy the Kid (1930),1930
20768,City Girl (1930),1930
20902,Free and Easy (1930),1930
20980,Hogaraka ni ayume (1930),1930
21079,Little Caesar (1931),1931
21156,Morocco (1930),1930
21283,Rakudai wa shitakeredo (1930),1930
